Institute,Program,Seat Type,Gender,OR,CR
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",OPEN,Gender-Neutral,12511,14997
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",OPEN,"Female-only (including
Supernumerary)",18989,21229
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",EWS,Gender-Neutral,1852,2341
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",EWS,"Female-only (including
Supernumerary)",3354,3354
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",OBC-NCL,Gender-Neutral,4326,5274
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",OBC-NCL,"Female-only (including
Supernumerary)",5905,7192
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",SC,Gender-Neutral,1941,2799
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",SC,"Female-only (including
Supernumerary)",3985,3985
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",ST,Gender-Neutral,798,858
IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",ST,"Female-only (including
Supernumerary)",1349,1349
IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural
Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,Gender-Neutral,13350,16386
IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural
Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,"Female-only (including
Supernumerary)",23095,23095
IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural
Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",EWS,Gender-Neutral,2562,2562
IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural
Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",EWS,"Female-only (including
Supernumerary)",4094,4094
IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural
Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,Gender-Neutral,4896,5952
IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural
Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",SC,Gender-Neutral,2142,2142
IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural
Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",SC,"Female-only (including
Supernumerary)",4616,4616
IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural
Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",ST,Gender-Neutral,1025,1025
IIT Bhubaneswar,"Civil Engineering and M.Tech in Transportation
Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,Gender-Neutral,14819,15374
IIT Bhubaneswar,"Civil Engineering and M.Tech in Transportation
Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,"Female-only (including
Supernumerary)",21572,21572
IIT Bhubaneswar,"Civil Engineering and M.Tech in Transportation
Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",EWS,Gender-Neutral,2438,2438
IIT Bhubaneswar,"Civil Engineering and M.Tech in Transportation
Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",EWS,"Female-only (including
Supernumerary)",4301,4301
IIT Bhubaneswar,"Civil Engineering and M.Tech in Transportation
Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,Gender-Neutral,5351,5663
IIT Bhubaneswar,"Civil Engineering and M.Tech in Transportation
Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,"Female-only (including
Supernumerary)",8395,8395
