Institute,Program,Quota,Seat Type,Gender,OR,CR
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,58365.0,84713.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),76804.0,77258.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,12621.0,13007.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,25613.0,27109.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),25407.0,25407.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,5665.0,12414.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),12540.0,12540.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,3227.0,3957.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,OPEN,Gender-Neutral,114821.0,186477.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,OPEN,Female-only (including Supernumerary),151517.0,159529.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,EWS,Gender-Neutral,27663.0,31666.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,EWS,Female-only (including Supernumerary),27646.0,27646.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,OBC-NCL,Gender-Neutral,75670.0,89326.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,OBC-NCL,Female-only (including Supernumerary),91270.0,91270.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,SC,Gender-Neutral,14287.0,19912.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,SC,Female-only (including Supernumerary),28769.0,28769.0
"Assam University, Silchar","Agricultural Engineering (4 Years, B.Tech)",HS,ST,Gender-Neutral,4825.0,7216.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,15690.0,47777.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),39620.0,43313.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,7057.0,7157.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,15140.0,16432.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),15122.0,15122.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,8631.0,8923.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),9588.0,9588.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,3606.0,3924.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",HS,OPEN,Gender-Neutral,67447.0,86274.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",HS,OPEN,Female-only (including Supernumerary),78298.0,80429.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",HS,EWS,Gender-Neutral,13859.0,15773.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",HS,EWS,Female-only (including Supernumerary),22175.0,22175.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",HS,OBC-NCL,Gender-Neutral,38152.0,51330.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",HS,OBC-NCL,Female-only (including Supernumerary),49835.0,49835.0
"Assam University, Silchar","Computer Science and Engineering (4 Years, B.Tech)",HS,SC,Gender-Neutral,10810.0,13742.0
