Institute,Program,Quota,Seat Type,Gender,OR,CR
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,EWS,Female-only (including Supernumerary),3731.0,3809.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL,Gender-Neutral,4349.0,6241.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL,Female-only (including Supernumerary),7705.0,10475.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL (PwD),Gender-Neutral,557.0,557.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,SC,Gender-Neutral,2426.0,4293.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,SC,Female-only (including Supernumerary),4280.0,5371.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,ST,Gender-Neutral,1116.0,1981.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,ST,Female-only (including Supernumerary),2568.0,2568.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OPEN,Gender-Neutral,13833.0,16856.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OPEN,Female-only (including Supernumerary),22303.0,24511.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OPEN (PwD),Gender-Neutral,1098.0,1098.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,EWS,Gender-Neutral,2615.0,2790.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,EWS,Female-only (including Supernumerary),4010.0,4010.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,EWS (PwD),Gender-Neutral,219.0,219.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OBC-NCL,Gender-Neutral,5953.0,7482.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OBC-NCL,Female-only (including Supernumerary),10304.0,10838.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OBC-NCL (PwD),Gender-Neutral,746.0,746.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,SC,Gender-Neutral,3595.0,4746.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,SC,Female-only (including Supernumerary),5701.0,5701.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,ST,Gender-Neutral,2239.0,2526.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,ST,Female-only (including Supernumerary),2793.0,2793.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,8643.0,11180.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),16057.0,18094.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,719.0,719.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, B.Tech)",AI,EWS,Gender-Neutral,1724.0,1908.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),3232.0,3232.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,4634.0,4863.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),7390.0,9429.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, B.Tech)",AI,SC,Gender-Neutral,2706.0,3476.0
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, B.Tech)",AI,ST,Gender-Neutral,1394.0,1494.0
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,14413.0,27124.0
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),29212.0,34478.0
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,1997.0,2185.0
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,4354.0,4855.0
