Institute,Program,Seat Type,Gender,OR,CR
IIT Bhubaneswar,Engineering Physics (4 Years B.Tech),ST,Gender-Neutral,1333,1333
IIT Bhubaneswar,Mechanical Engineering (4 Years B.Tech),EWS,Gender-Neutral,1400,1639
IIT Bhubaneswar,Mechanical Engineering (4 Years B.Tech),EWS,Female-only (including Supernumerary),3122,3236
IIT Bhubaneswar,Mechanical Engineering (4 Years B.Tech),OBC-NCL,Gender-Neutral,3078,3885
IIT Bhubaneswar,Mechanical Engineering (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),7053,7801
IIT Bhubaneswar,Mechanical Engineering (4 Years B.Tech),OPEN,Gender-Neutral,7881,10233
IIT Bhubaneswar,Mechanical Engineering (4 Years B.Tech),OPEN,Female-only (including Supernumerary),16104,19505
IIT Bhubaneswar,Mechanical Engineering (4 Years B.Tech),OPEN (PwD),Gender-Neutral,172,172
IIT Bhubaneswar,Mechanical Engineering (4 Years B.Tech),SC,Gender-Neutral,1907,2293
IIT Bhubaneswar,Mechanical Engineering (4 Years B.Tech),SC,Female-only (including Supernumerary),2465,3941
IIT Bhubaneswar,Mechanical Engineering (4 Years B.Tech),ST,Gender-Neutral,918,1041
IIT Bhubaneswar,Mechanical Engineering (4 Years B.Tech),ST,Female-only (including Supernumerary),1735,1735
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years B.Tech),EWS,Gender-Neutral,2301,2373
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years B.Tech),EWS,Female-only (including Supernumerary),4185,4185
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years B.Tech),OBC-NCL,Gender-Neutral,4730,5608
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),9228,9228
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years B.Tech),OPEN,Gender-Neutral,11823,14898
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years B.Tech),OPEN,Female-only (including Supernumerary),20901,21693
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years B.Tech),SC,Gender-Neutral,2332,2774
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years B.Tech),SC,Female-only (including Supernumerary),4396,4396
